IC,Method,MSE,RMSE,R2
"[-0.5015653039496065, 0.5909532944575228, -0.7316162504528693]",RNN,2.5934132281690836e-05,0.005092556556552989,0.9985372424125671
"[-0.5015653039496065, 0.5909532944575228, -0.7316162504528693]",Transfer,3.686761192511767e-05,0.006071870545813512,0.997779130935669
"[-0.5015653039496065, 0.5909532944575228, -0.7316162504528693]",MAML,0.0014288532547652721,0.037800175327176354,0.8872644305229187
"[-0.5015653039496065, 0.5909532944575228, -0.7316162504528693]",PINN,4.3705567804863676e-05,0.006611018666201425,0.9976189732551575
"[-0.5015653039496065, 0.5909532944575228, -0.7316162504528693]",Hybrid,3.645447941380553e-05,0.006037754500955263,0.9977297782897949
"[-0.5015653039496065, 0.5909532944575228, -0.7316162504528693]",RC(ESN),5.345258071454663e-07,0.0007311127184952169,0.9999626307471243
"[0.2617554613715591, -0.8557955790158159, -0.18752591230309784]",RNN,5.4628384532406926e-05,0.007391101713033513,0.9975224137306213
"[0.2617554613715591, -0.8557955790158159, -0.18752591230309784]",Transfer,0.00011054135393351316,0.010513864842840294,0.9957771897315979
"[0.2617554613715591, -0.8557955790158159, -0.18752591230309784]",MAML,0.002450995845720172,0.04950753322192666,0.9244802594184875
"[0.2617554613715591, -0.8557955790158159, -0.18752591230309784]",PINN,4.890645504929125e-05,0.006993315025743603,0.9977715611457825
"[0.2617554613715591, -0.8557955790158159, -0.18752591230309784]",Hybrid,0.00010916689643636346,0.010448296341335437,0.9954102635383606
"[0.2617554613715591, -0.8557955790158159, -0.18752591230309784]",RC(ESN),2.237237373603422e-06,0.0014957397412663147,0.9999018323985776
"[-0.3734862894349501, -0.46197096665897835, -0.816466104204386]",RNN,2.4972183382487856e-05,0.004997217564053806,0.9984498023986816
"[-0.3734862894349501, -0.46197096665897835, -0.816466104204386]",Transfer,9.153762221103534e-05,0.009567529577222917,0.9940047860145569
"[-0.3734862894349501, -0.46197096665897835, -0.816466104204386]",MAML,0.0032559430692344904,0.057060871612993176,0.8177347779273987
"[-0.3734862894349501, -0.46197096665897835, -0.816466104204386]",PINN,4.489931234274991e-05,0.006700694914913669,0.9970143437385559
